trl Lum_S Lum_CD Lum_CL
160 53.0 68.4285714286 82.1142857143
161 51.9 63.0 75.6
162 48.8333333333 64.0 70.4
163 55.4 67.1666666667 60.45
164 55.4 67.1666666667 67.1666666667
165 53.0 68.4285714286 68.4285714286
166 48.8333333333 64.0 70.4
167 55.4 67.1666666667 60.45
168 51.9 63.0 75.6
169 55.4 67.1666666667 70.525
170 55.4 67.1666666667 70.525
171 48.8333333333 64.0 51.2
172 55.4 67.1666666667 63.8083333334
173 53.0 68.4285714286 65.0071428572
174 48.8333333333 64.0 76.8
175 51.9 63.0 50.4
176 55.4 67.1666666667 80.6
177 48.8333333333 64.0 60.8
178 53.0 68.4285714286 75.2714285715
179 53.0 68.4285714286 82.1142857143
180 53.0 68.4285714286 71.85
181 53.0 68.4285714286 82.1142857143
182 53.0 68.4285714286 68.4285714286
183 48.8333333333 64.0 60.8
184 48.8333333333 64.0 51.2
185 55.4 67.1666666667 73.8833333334
186 55.4 67.1666666667 53.7333333334
187 55.4 67.1666666667 60.45
188 55.4 67.1666666667 70.525
189 48.8333333333 64.0 57.6
190 51.9 63.0 66.15
191 51.9 63.0 63.0
192 53.0 68.4285714286 71.85
193 51.9 63.0 75.6
194 55.4 67.1666666667 60.45
195 48.8333333333 64.0 70.4
196 48.8333333333 64.0 57.6
197 51.9 63.0 63.0
198 55.4 67.1666666667 60.45
199 53.0 68.4285714286 68.4285714286
200 53.0 68.4285714286 61.5857142857
201 48.8333333333 64.0 60.8
202 55.4 67.1666666667 53.7333333334
203 53.0 68.4285714286 82.1142857143
204 53.0 68.4285714286 65.0071428572
205 55.4 67.1666666667 67.1666666667
206 48.8333333333 64.0 64.0
207 51.9 63.0 63.0
208 51.9 63.0 59.85
209 48.8333333333 64.0 70.4
210 48.8333333333 64.0 60.8
211 53.0 68.4285714286 68.4285714286
212 53.0 68.4285714286 65.0071428572
213 55.4 67.1666666667 80.6
214 53.0 68.4285714286 54.7428571429
215 53.0 68.4285714286 61.5857142857
216 48.8333333333 64.0 64.0
217 51.9 63.0 59.85
218 51.9 63.0 56.7
219 53.0 68.4285714286 75.2714285715
220 51.9 63.0 75.6
221 51.9 63.0 66.15
222 51.9 63.0 69.3
223 51.9 63.0 69.3
224 55.4 67.1666666667 73.8833333334
225 48.8333333333 64.0 67.2
226 53.0 68.4285714286 82.1142857143
227 53.0 68.4285714286 54.7428571429
228 51.9 63.0 66.15
229 48.8333333333 64.0 60.8
230 55.4 67.1666666667 80.6
231 51.9 63.0 75.6
232 51.9 63.0 66.15
233 48.8333333333 64.0 51.2
234 51.9 63.0 66.15
235 48.8333333333 64.0 57.6
236 48.8333333333 64.0 70.4
237 53.0 68.4285714286 61.5857142857
238 55.4 67.1666666667 60.45
239 48.8333333333 64.0 51.2
240 51.9 63.0 66.15
241 51.9 63.0 56.7
242 53.0 68.4285714286 82.1142857143
243 51.9 63.0 59.85
244 48.8333333333 64.0 70.4
245 51.9 63.0 63.0
246 51.9 63.0 75.6
247 51.9 63.0 63.0
248 53.0 68.4285714286 71.85
249 55.4 67.1666666667 80.6
250 53.0 68.4285714286 71.85
251 55.4 67.1666666667 80.6
252 55.4 67.1666666667 73.8833333334
253 53.0 68.4285714286 61.5857142857
254 48.8333333333 64.0 51.2
255 55.4 67.1666666667 70.525
256 53.0 68.4285714286 61.5857142857
257 53.0 68.4285714286 65.0071428572
258 48.8333333333 64.0 57.6
259 51.9 63.0 56.7
260 48.8333333333 64.0 76.8
261 53.0 68.4285714286 75.2714285715
262 53.0 68.4285714286 71.85
263 48.8333333333 64.0 67.2
264 51.9 63.0 75.6
265 53.0 68.4285714286 54.7428571429
266 55.4 67.1666666667 53.7333333334
267 55.4 67.1666666667 70.525
268 51.9 63.0 69.3
269 55.4 67.1666666667 60.45
270 53.0 68.4285714286 82.1142857143
271 55.4 67.1666666667 80.6
272 53.0 68.4285714286 71.85
273 53.0 68.4285714286 54.7428571429
274 53.0 68.4285714286 75.2714285715
275 51.9 63.0 59.85
276 48.8333333333 64.0 51.2
277 48.8333333333 64.0 57.6
278 48.8333333333 64.0 51.2
279 51.9 63.0 75.6
280 53.0 68.4285714286 75.2714285715
281 53.0 68.4285714286 61.5857142857
282 48.8333333333 64.0 70.4
283 53.0 68.4285714286 71.85
284 53.0 68.4285714286 54.7428571429
285 51.9 63.0 59.85
286 48.8333333333 64.0 64.0
287 51.9 63.0 50.4
288 53.0 68.4285714286 75.2714285715
289 48.8333333333 64.0 60.8
290 51.9 63.0 59.85
291 48.8333333333 64.0 67.2
292 55.4 67.1666666667 53.7333333334
293 55.4 67.1666666667 70.525
294 53.0 68.4285714286 61.5857142857
295 48.8333333333 64.0 64.0
296 55.4 67.1666666667 53.7333333334
297 55.4 67.1666666667 67.1666666667
298 53.0 68.4285714286 54.7428571429
299 51.9 63.0 63.0
300 48.8333333333 64.0 60.8
301 48.8333333333 64.0 57.6
302 51.9 63.0 59.85
303 55.4 67.1666666667 80.6
304 48.8333333333 64.0 51.2
305 51.9 63.0 66.15
306 53.0 68.4285714286 65.0071428572
307 53.0 68.4285714286 82.1142857143
308 55.4 67.1666666667 73.8833333334
309 55.4 67.1666666667 60.45
310 55.4 67.1666666667 70.525
311 48.8333333333 64.0 64.0
312 48.8333333333 64.0 67.2
313 51.9 63.0 66.15
314 55.4 67.1666666667 70.525
315 55.4 67.1666666667 80.6
316 55.4 67.1666666667 67.1666666667
317 53.0 68.4285714286 61.5857142857
318 48.8333333333 64.0 51.2
319 55.4 67.1666666667 63.8083333334
320 55.4 67.1666666667 63.8083333334
321 51.9 63.0 69.3
322 51.9 63.0 66.15
323 55.4 67.1666666667 53.7333333334
324 48.8333333333 64.0 76.8
325 55.4 67.1666666667 67.1666666667
326 48.8333333333 64.0 67.2
327 55.4 67.1666666667 73.8833333334
328 51.9 63.0 50.4
329 51.9 63.0 59.85
330 48.8333333333 64.0 67.2
331 55.4 67.1666666667 63.8083333334
332 51.9 63.0 63.0
333 53.0 68.4285714286 71.85
334 53.0 68.4285714286 54.7428571429
335 53.0 68.4285714286 68.4285714286
336 48.8333333333 64.0 57.6
337 53.0 68.4285714286 71.85
338 55.4 67.1666666667 60.45
339 53.0 68.4285714286 65.0071428572
340 53.0 68.4285714286 75.2714285715
341 55.4 67.1666666667 80.6
342 51.9 63.0 66.15
343 48.8333333333 64.0 76.8
344 48.8333333333 64.0 57.6
345 51.9 63.0 59.85
346 53.0 68.4285714286 61.5857142857
347 51.9 63.0 63.0
348 53.0 68.4285714286 82.1142857143
349 48.8333333333 64.0 64.0
350 51.9 63.0 56.7
351 48.8333333333 64.0 70.4
352 53.0 68.4285714286 54.7428571429
353 51.9 63.0 56.7
354 51.9 63.0 69.3
355 55.4 67.1666666667 73.8833333334
356 51.9 63.0 69.3
357 53.0 68.4285714286 71.85
358 53.0 68.4285714286 65.0071428572
359 53.0 68.4285714286 75.2714285715
360 51.9 63.0 63.0
361 48.8333333333 64.0 67.2
362 51.9 63.0 50.4
363 55.4 67.1666666667 67.1666666667
364 48.8333333333 64.0 60.8
365 48.8333333333 64.0 51.2
366 55.4 67.1666666667 67.1666666667
367 55.4 67.1666666667 63.8083333334
368 55.4 67.1666666667 63.8083333334
369 55.4 67.1666666667 73.8833333334
370 51.9 63.0 75.6
371 48.8333333333 64.0 67.2
372 48.8333333333 64.0 67.2
373 55.4 67.1666666667 80.6
374 55.4 67.1666666667 70.525
375 53.0 68.4285714286 75.2714285715
376 48.8333333333 64.0 51.2
377 51.9 63.0 66.15
378 55.4 67.1666666667 53.7333333334
379 51.9 63.0 50.4
380 55.4 67.1666666667 80.6
381 51.9 63.0 56.7
382 55.4 67.1666666667 70.525
383 53.0 68.4285714286 54.7428571429
384 51.9 63.0 50.4
385 55.4 67.1666666667 67.1666666667
386 53.0 68.4285714286 82.1142857143
387 53.0 68.4285714286 75.2714285715
388 53.0 68.4285714286 71.85
389 48.8333333333 64.0 64.0
390 53.0 68.4285714286 75.2714285715
391 48.8333333333 64.0 57.6
392 55.4 67.1666666667 73.8833333334
393 48.8333333333 64.0 67.2
394 53.0 68.4285714286 71.85
395 51.9 63.0 75.6
396 48.8333333333 64.0 76.8
397 48.8333333333 64.0 76.8
398 51.9 63.0 69.3
399 53.0 68.4285714286 82.1142857143
400 53.0 68.4285714286 68.4285714286
401 51.9 63.0 75.6
402 48.8333333333 64.0 64.0
403 55.4 67.1666666667 73.8833333334
404 53.0 68.4285714286 71.85
405 53.0 68.4285714286 68.4285714286
406 51.9 63.0 50.4
407 53.0 68.4285714286 65.0071428572
408 51.9 63.0 75.6
409 51.9 63.0 66.15
410 51.9 63.0 66.15
411 53.0 68.4285714286 65.0071428572
412 48.8333333333 64.0 51.2
413 53.0 68.4285714286 61.5857142857
414 48.8333333333 64.0 67.2
415 55.4 67.1666666667 80.6
416 53.0 68.4285714286 54.7428571429
417 48.8333333333 64.0 60.8
418 55.4 67.1666666667 63.8083333334
419 55.4 67.1666666667 53.7333333334
420 51.9 63.0 75.6
421 48.8333333333 64.0 64.0
422 51.9 63.0 63.0
423 55.4 67.1666666667 63.8083333334
424 48.8333333333 64.0 57.6
425 51.9 63.0 56.7
426 48.8333333333 64.0 57.6
427 55.4 67.1666666667 70.525
428 53.0 68.4285714286 61.5857142857
429 48.8333333333 64.0 76.8
430 48.8333333333 64.0 67.2
431 55.4 67.1666666667 73.8833333334
432 51.9 63.0 59.85
433 53.0 68.4285714286 68.4285714286
434 53.0 68.4285714286 54.7428571429
435 53.0 68.4285714286 61.5857142857
436 55.4 67.1666666667 53.7333333334
437 48.8333333333 64.0 51.2
438 55.4 67.1666666667 53.7333333334
439 53.0 68.4285714286 68.4285714286
440 48.8333333333 64.0 76.8
441 55.4 67.1666666667 53.7333333334
442 55.4 67.1666666667 53.7333333334
443 55.4 67.1666666667 63.8083333334
444 55.4 67.1666666667 67.1666666667
445 53.0 68.4285714286 54.7428571429
446 48.8333333333 64.0 60.8
447 51.9 63.0 63.0
