Trial LumTarget LumMatch LT-LM LumComp %deviance Choice RT
73 55.4 67.1666666667 -11.7666666667 53.7333333334 -3.0 1 0.266288119998
74 53.0 68.4285714286 -15.4285714286 82.1142857143 55.0 1 0.316379279997
75 51.9 63.0 -11.1 50.4 -3.0 1 0.203662179996
76 53.0 68.4285714286 -15.4285714286 82.1142857143 55.0 1 0.229625759996
77 51.9 63.0 -11.1 66.15 27.0 1 0.189635069997
78 55.4 67.1666666667 -11.7666666667 60.45 9.0 1 0.189401319996
79 48.8333333333 64.0 -15.1666666667 64.0 31.0 1 0.266181790001
80 51.9 63.0 -11.1 50.4 -3.0 1 0.17031682
81 51.9 63.0 -11.1 56.7 9.0 1 0.154752659997
82 48.8333333333 64.0 -15.1666666667 70.4 44.0 1 0.224468209999
83 48.8333333333 64.0 -15.1666666667 57.6 18.0 1 0.189028459998
84 48.8333333333 64.0 -15.1666666667 70.4 44.0 1 0.255855709998
85 55.4 67.1666666667 -11.7666666667 67.1666666667 21.0 1 0.246291139996
86 48.8333333333 64.0 -15.1666666667 64.0 31.0 0 0.356147250001
87 55.4 67.1666666667 -11.7666666667 73.8833333334 33.0 1 0.769549399996
88 55.4 67.1666666667 -11.7666666667 80.6 45.0 1 0.310814329998
89 51.9 63.0 -11.1 69.3 34.0 1 0.405028419998
90 51.9 63.0 -11.1 69.3 34.0 1 0.348955079997
91 48.8333333333 64.0 -15.1666666667 67.2 38.0 0 0.68853182
92 48.8333333333 64.0 -15.1666666667 67.2 38.0 1 0.531307239999
93 51.9 63.0 -11.1 56.7 9.0 1 0.287875469996
94 51.9 63.0 -11.1 69.3 34.0 1 0.274078530001
95 51.9 63.0 -11.1 75.6 46.0 1 0.267497950001
96 51.9 63.0 -11.1 69.3 34.0 1 0.260388639999
97 55.4 67.1666666667 -11.7666666667 70.525 27.0 1 0.514446779998
98 55.4 67.1666666667 -11.7666666667 73.8833333334 33.0 1 0.597204429996
99 55.4 67.1666666667 -11.7666666667 73.8833333334 33.0 1 0.217375439996
100 48.8333333333 64.0 -15.1666666667 64.0 31.0 1 0.468370699997
101 51.9 63.0 -11.1 59.85 15.0 1 0.382271349998
102 53.0 68.4285714286 -15.4285714286 54.7428571429 3.0 1 0.416499299998
103 51.9 63.0 -11.1 50.4 -3.0 1 0.262349889996
104 55.4 67.1666666667 -11.7666666667 80.6 45.0 1 0.285468620001
105 51.9 63.0 -11.1 50.4 -3.0 1 0.250967709999
106 51.9 63.0 -11.1 63.0 21.0 0 0.451756169998
107 53.0 68.4285714286 -15.4285714286 65.0071428572 23.0 1 0.828774419999
108 53.0 68.4285714286 -15.4285714286 71.85 36.0 1 0.555667289998
109 51.9 63.0 -11.1 63.0 21.0 1 0.383564509997
110 51.9 63.0 -11.1 66.15 27.0 1 0.375155689999
111 51.9 63.0 -11.1 50.4 -3.0 1 0.297406079997
112 51.9 63.0 -11.1 63.0 21.0 0 0.372934480001
113 51.9 63.0 -11.1 66.15 27.0 1 0.521963859999
114 53.0 68.4285714286 -15.4285714286 82.1142857143 55.0 1 0.308263200001
115 51.9 63.0 -11.1 50.4 -3.0 1 0.252308469997
116 48.8333333333 64.0 -15.1666666667 76.8 57.0 1 0.379083299998
117 55.4 67.1666666667 -11.7666666667 60.45 9.0 1 0.359909839997
118 48.8333333333 64.0 -15.1666666667 64.0 31.0 1 0.741594489999
119 53.0 68.4285714286 -15.4285714286 75.2714285715 42.0 1 0.459543919998
120 48.8333333333 64.0 -15.1666666667 67.2 38.0 1 0.368759549998
121 55.4 67.1666666667 -11.7666666667 63.8083333334 15.0 1 0.38983258
122 48.8333333333 64.0 -15.1666666667 70.4 44.0 1 0.259896529999
123 53.0 68.4285714286 -15.4285714286 75.2714285715 42.0 1 0.607940369999
124 48.8333333333 64.0 -15.1666666667 60.8 25.0 1 0.385355199996
125 55.4 67.1666666667 -11.7666666667 60.45 9.0 1 0.644346009998
126 48.8333333333 64.0 -15.1666666667 76.8 57.0 1 0.240374429999
127 51.9 63.0 -11.1 69.3 34.0 1 0.27151708
128 51.9 63.0 -11.1 50.4 -3.0 1 0.214088180001
129 55.4 67.1666666667 -11.7666666667 73.8833333334 33.0 1 0.304902179996
130 51.9 63.0 -11.1 63.0 21.0 1 0.341673669998
131 48.8333333333 64.0 -15.1666666667 57.6 18.0 1 0.235651079998
132 51.9 63.0 -11.1 59.85 15.0 1 0.218219509996
133 53.0 68.4285714286 -15.4285714286 54.7428571429 3.0 1 0.224628
134 55.4 67.1666666667 -11.7666666667 53.7333333334 -3.0 1 0.295916209998
135 55.4 67.1666666667 -11.7666666667 63.8083333334 15.0 1 0.308448559997
136 48.8333333333 64.0 -15.1666666667 64.0 31.0 1 0.297724259995
137 53.0 68.4285714286 -15.4285714286 61.5857142857 16.0 1 0.179560239998
138 55.4 67.1666666667 -11.7666666667 80.6 45.0 1 0.515187219997
139 55.4 67.1666666667 -11.7666666667 53.7333333334 -3.0 1 0.18736408
140 55.4 67.1666666667 -11.7666666667 63.8083333334 15.0 0 0.574420149998
141 53.0 68.4285714286 -15.4285714286 54.7428571429 3.0 1 0.183200150001
142 51.9 63.0 -11.1 56.7 9.0 1 0.416438929999
143 51.9 63.0 -11.1 56.7 9.0 1 0.474854549997
144 55.4 67.1666666667 -11.7666666667 63.8083333334 15.0 0 0.361454959999
145 55.4 67.1666666667 -11.7666666667 67.1666666667 21.0 0 0.285352789997
146 51.9 63.0 -11.1 59.85 15.0 1 0.419414549997
147 53.0 68.4285714286 -15.4285714286 75.2714285715 42.0 0 0.272061259999
148 48.8333333333 64.0 -15.1666666667 51.2 5.0 1 1.13943597
149 53.0 68.4285714286 -15.4285714286 75.2714285715 42.0 0 0.65482362
150 53.0 68.4285714286 -15.4285714286 71.85 36.0 1 0.402970749998
151 48.8333333333 64.0 -15.1666666667 60.8 25.0 1 0.398276489999
152 53.0 68.4285714286 -15.4285714286 82.1142857143 55.0 1 0.353558439998
153 48.8333333333 64.0 -15.1666666667 51.2 5.0 1 0.43947415
154 55.4 67.1666666667 -11.7666666667 73.8833333334 33.0 0 0.321970329998
155 48.8333333333 64.0 -15.1666666667 70.4 44.0 1 0.627167979997
156 53.0 68.4285714286 -15.4285714286 68.4285714286 29.0 0 0.436177999996
157 48.8333333333 64.0 -15.1666666667 57.6 18.0 0 1.10128525
158 51.9 63.0 -11.1 63.0 21.0 0 0.29334683
159 48.8333333333 64.0 -15.1666666667 76.8 57.0 1 0.221349159998
160 55.4 67.1666666667 -11.7666666667 63.8083333334 15.0 1 1.07163675
161 53.0 68.4285714286 -15.4285714286 82.1142857143 55.0 1 0.255203119999
162 51.9 63.0 -11.1 75.6 46.0 1 0.276297729997
163 48.8333333333 64.0 -15.1666666667 70.4 44.0 1 0.434118810001
164 55.4 67.1666666667 -11.7666666667 60.45 9.0 1 0.369838709998
165 55.4 67.1666666667 -11.7666666667 67.1666666667 21.0 0 0.369499389999
166 53.0 68.4285714286 -15.4285714286 68.4285714286 29.0 0 0.437852089995
167 48.8333333333 64.0 -15.1666666667 70.4 44.0 1 0.319635119999
168 55.4 67.1666666667 -11.7666666667 60.45 9.0 0 1.69028821
169 51.9 63.0 -11.1 75.6 46.0 1 0.223717199999
170 55.4 67.1666666667 -11.7666666667 70.525 27.0 0 0.303634569998
171 55.4 67.1666666667 -11.7666666667 70.525 27.0 0 0.31677171
172 48.8333333333 64.0 -15.1666666667 51.2 5.0 1 0.368556239999
173 55.4 67.1666666667 -11.7666666667 63.8083333334 15.0 1 0.660041939998
174 53.0 68.4285714286 -15.4285714286 65.0071428572 23.0 0 0.380306289997
175 48.8333333333 64.0 -15.1666666667 76.8 57.0 1 0.299397839997
176 51.9 63.0 -11.1 50.4 -3.0 1 0.624221009999
177 55.4 67.1666666667 -11.7666666667 80.6 45.0 1 0.344671899995
178 48.8333333333 64.0 -15.1666666667 60.8 25.0 1 0.282532439996
179 53.0 68.4285714286 -15.4285714286 75.2714285715 42.0 0 0.235091429997
180 53.0 68.4285714286 -15.4285714286 82.1142857143 55.0 1 0.231816790001
181 53.0 68.4285714286 -15.4285714286 71.85 36.0 0 0.195689249998
182 53.0 68.4285714286 -15.4285714286 82.1142857143 55.0 1 0.248575609996
183 53.0 68.4285714286 -15.4285714286 68.4285714286 29.0 0 0.391123439997
184 48.8333333333 64.0 -15.1666666667 60.8 25.0 0 0.392568489999
185 48.8333333333 64.0 -15.1666666667 51.2 5.0 1 0.657064409996
186 55.4 67.1666666667 -11.7666666667 73.8833333334 33.0 1 0.476852419997
187 55.4 67.1666666667 -11.7666666667 53.7333333334 -3.0 1 0.265065769996
188 55.4 67.1666666667 -11.7666666667 60.45 9.0 1 0.340125499999
189 55.4 67.1666666667 -11.7666666667 70.525 27.0 0 0.278721799998
190 48.8333333333 64.0 -15.1666666667 57.6 18.0 1 0.513735489996
191 51.9 63.0 -11.1 66.15 27.0 0 0.250063539999
192 51.9 63.0 -11.1 63.0 21.0 0 0.281674429996
193 53.0 68.4285714286 -15.4285714286 71.85 36.0 0 0.23531887
194 51.9 63.0 -11.1 75.6 46.0 1 0.439810979999
195 55.4 67.1666666667 -11.7666666667 60.45 9.0 1 0.285194689997
196 48.8333333333 64.0 -15.1666666667 70.4 44.0 1 0.431810449998
197 48.8333333333 64.0 -15.1666666667 57.6 18.0 0 0.312021649996
198 51.9 63.0 -11.1 63.0 21.0 0 0.256441759997
199 55.4 67.1666666667 -11.7666666667 60.45 9.0 0 0.516038889997
200 53.0 68.4285714286 -15.4285714286 68.4285714286 29.0 0 0.244142089996
201 53.0 68.4285714286 -15.4285714286 61.5857142857 16.0 1 0.42861463
202 48.8333333333 64.0 -15.1666666667 60.8 25.0 0 0.491640709995
203 55.4 67.1666666667 -11.7666666667 53.7333333334 -3.0 1 0.282743109998
204 53.0 68.4285714286 -15.4285714286 82.1142857143 55.0 1 0.589288079998
205 53.0 68.4285714286 -15.4285714286 65.0071428572 23.0 0 0.374987929998
206 55.4 67.1666666667 -11.7666666667 67.1666666667 21.0 0 0.223485799997
207 48.8333333333 64.0 -15.1666666667 64.0 31.0 0 0.199977209995
208 51.9 63.0 -11.1 63.0 21.0 0 0.268452319997
209 51.9 63.0 -11.1 59.85 15.0 1 1.3977386
210 48.8333333333 64.0 -15.1666666667 70.4 44.0 0 0.395223649997
211 48.8333333333 64.0 -15.1666666667 60.8 25.0 1 0.311033040001
212 53.0 68.4285714286 -15.4285714286 68.4285714286 29.0 0 0.310023939997
213 53.0 68.4285714286 -15.4285714286 65.0071428572 23.0 0 0.193426979997
214 55.4 67.1666666667 -11.7666666667 80.6 45.0 1 0.314840809999
215 53.0 68.4285714286 -15.4285714286 54.7428571429 3.0 1 0.307857189997
216 53.0 68.4285714286 -15.4285714286 61.5857142857 16.0 1 0.290146869997
217 48.8333333333 64.0 -15.1666666667 64.0 31.0 0 0.255884739996
218 51.9 63.0 -11.1 59.85 15.0 1 0.313338020002
219 51.9 63.0 -11.1 56.7 9.0 1 0.360784039996
220 53.0 68.4285714286 -15.4285714286 75.2714285715 42.0 0 0.355693220001
221 51.9 63.0 -11.1 75.6 46.0 1 0.398337099996
222 51.9 63.0 -11.1 66.15 27.0 0 0.931529299996
223 51.9 63.0 -11.1 69.3 34.0 1 0.266119429998
224 51.9 63.0 -11.1 69.3 34.0 1 0.399283099996
225 55.4 67.1666666667 -11.7666666667 73.8833333334 33.0 1 0.2469026
226 48.8333333333 64.0 -15.1666666667 67.2 38.0 1 0.595229899998
227 53.0 68.4285714286 -15.4285714286 82.1142857143 55.0 1 0.280193079998
228 53.0 68.4285714286 -15.4285714286 54.7428571429 3.0 1 0.241357089999
229 51.9 63.0 -11.1 66.15 27.0 1 0.401966099998
230 48.8333333333 64.0 -15.1666666667 60.8 25.0 1 0.277733289997
231 55.4 67.1666666667 -11.7666666667 80.6 45.0 1 0.411244359999
232 51.9 63.0 -11.1 75.6 46.0 1 0.270609169998
233 51.9 63.0 -11.1 66.15 27.0 0 0.333831229997
234 48.8333333333 64.0 -15.1666666667 51.2 5.0 1 0.264316829998
235 51.9 63.0 -11.1 66.15 27.0 1 0.481514039999
236 48.8333333333 64.0 -15.1666666667 57.6 18.0 1 0.486582749996
237 48.8333333333 64.0 -15.1666666667 70.4 44.0 1 0.334923099999
238 53.0 68.4285714286 -15.4285714286 61.5857142857 16.0 1 0.814721389997
239 55.4 67.1666666667 -11.7666666667 60.45 9.0 1 0.39204363
240 48.8333333333 64.0 -15.1666666667 51.2 5.0 1 0.607724229998
241 51.9 63.0 -11.1 66.15 27.0 1 0.461458349997
242 51.9 63.0 -11.1 56.7 9.0 1 1.35632906
243 53.0 68.4285714286 -15.4285714286 82.1142857143 55.0 1 0.810029209999
244 51.9 63.0 -11.1 59.85 15.0 1 0.352096579998
245 48.8333333333 64.0 -15.1666666667 70.4 44.0 1 0.390830589997
246 51.9 63.0 -11.1 63.0 21.0 0 0.394020989999
247 51.9 63.0 -11.1 75.6 46.0 1 0.29591579
248 51.9 63.0 -11.1 63.0 21.0 0 0.309591879999
249 53.0 68.4285714286 -15.4285714286 71.85 36.0 1 0.348097549999
250 55.4 67.1666666667 -11.7666666667 80.6 45.0 1 0.2626494
251 53.0 68.4285714286 -15.4285714286 71.85 36.0 1 0.295312259997
252 55.4 67.1666666667 -11.7666666667 80.6 45.0 1 0.204444939998
253 55.4 67.1666666667 -11.7666666667 73.8833333334 33.0 1 0.279729029997
254 53.0 68.4285714286 -15.4285714286 61.5857142857 16.0 1 0.176114639999
255 48.8333333333 64.0 -15.1666666667 51.2 5.0 1 0.155447919999
256 55.4 67.1666666667 -11.7666666667 70.525 27.0 0 0.30957216
257 53.0 68.4285714286 -15.4285714286 61.5857142857 16.0 1 0.141543129997
258 53.0 68.4285714286 -15.4285714286 65.0071428572 23.0 0 0.230620849998
259 48.8333333333 64.0 -15.1666666667 57.6 18.0 1 0.154001999996
260 51.9 63.0 -11.1 56.7 9.0 1 0.179077459998
261 48.8333333333 64.0 -15.1666666667 76.8 57.0 1 0.225483850001
262 53.0 68.4285714286 -15.4285714286 75.2714285715 42.0 0 0.269374119998
263 53.0 68.4285714286 -15.4285714286 71.85 36.0 0 0.186008659995
264 48.8333333333 64.0 -15.1666666667 67.2 38.0 0 0.193270279997
265 51.9 63.0 -11.1 75.6 46.0 1 0.316329270001
266 53.0 68.4285714286 -15.4285714286 54.7428571429 3.0 1 0.222881869999
267 55.4 67.1666666667 -11.7666666667 53.7333333334 -3.0 1 0.173451989998
268 55.4 67.1666666667 -11.7666666667 70.525 27.0 1 0.241095450001
269 51.9 63.0 -11.1 69.3 34.0 1 0.333139089998
270 55.4 67.1666666667 -11.7666666667 60.45 9.0 1 0.424637029999
271 53.0 68.4285714286 -15.4285714286 82.1142857143 55.0 1 0.210241359997
272 55.4 67.1666666667 -11.7666666667 80.6 45.0 1 0.33871013
273 53.0 68.4285714286 -15.4285714286 71.85 36.0 1 0.326224629996
274 53.0 68.4285714286 -15.4285714286 54.7428571429 3.0 1 0.170125179997
275 53.0 68.4285714286 -15.4285714286 75.2714285715 42.0 1 0.273753659996
276 51.9 63.0 -11.1 59.85 15.0 0 0.693090809997
