Trial LumTarget LumMatch LT-LM LumComp %deviance Choice RT
76 53.0 68.4285714286 -15.4285714286 42.4 -38.0 1 0.24684559
77 51.9 63.0 -11.1 54.495 -14.0 1 0.26314729
78 55.4 67.1666666667 -11.7666666667 52.63 -22.0 1 0.38414896
79 53.0 68.4285714286 -15.4285714286 53.0 -23.0 1 0.2435231
80 53.0 68.4285714286 -15.4285714286 63.6 -7.0 1 0.16680545
81 53.0 68.4285714286 -15.4285714286 42.4 -38.0 1 0.21747793
82 51.9 63.0 -11.1 62.28 -1.0 1 0.17664681
83 55.4 67.1666666667 -11.7666666667 55.4 -18.0 1 0.20093542
84 51.9 63.0 -11.1 57.09 -9.0 1 0.15011744
85 51.9 63.0 -11.1 62.28 -1.0 1 0.12388047
86 53.0 68.4285714286 -15.4285714286 53.0 -23.0 1 0.13105006
87 53.0 68.4285714286 -15.4285714286 47.7 -30.0 1 0.27357623
88 53.0 68.4285714286 -15.4285714286 55.65 -19.0 0 0.43358591
89 53.0 68.4285714286 -15.4285714286 55.65 -19.0 1 0.16367917
90 55.4 67.1666666667 -11.7666666667 55.4 -18.0 0 0.44529245
91 53.0 68.4285714286 -15.4285714286 55.65 -19.0 0 0.29267953
92 55.4 67.1666666667 -11.7666666667 49.86 -26.0 1 0.43486772
93 48.8333333333 64.0 -15.1666666667 43.95 -31.0 1 0.34694127
94 55.4 67.1666666667 -11.7666666667 66.48 -1.0 1 0.22564499
95 53.0 68.4285714286 -15.4285714286 50.35 -26.0 0 0.3677779
96 48.8333333333 64.0 -15.1666666667 46.3916666666 -28.0 0 0.59321194
97 48.8333333333 64.0 -15.1666666667 46.3916666666 -28.0 0 0.33776059
98 55.4 67.1666666667 -11.7666666667 66.48 -1.0 1 0.30638555
99 48.8333333333 64.0 -15.1666666667 51.275 -20.0 1 0.52311731
100 55.4 67.1666666667 -11.7666666667 58.17 -13.0 1 0.18192041
101 48.8333333333 64.0 -15.1666666667 39.0666666666 -39.0 1 0.43382286
102 51.9 63.0 -11.1 51.9 -18.0 0 0.38261908
103 48.8333333333 64.0 -15.1666666667 51.275 -20.0 0 0.22467141
104 55.4 67.1666666667 -11.7666666667 58.17 -13.0 1 0.16885371
105 51.9 63.0 -11.1 49.305 -22.0 1 0.38786625
106 48.8333333333 64.0 -15.1666666667 48.8333333333 -24.0 1 0.33172593
107 48.8333333333 64.0 -15.1666666667 39.0666666666 -39.0 1 0.26391355
108 53.0 68.4285714286 -15.4285714286 63.6 -7.0 1 0.14983241
109 55.4 67.1666666667 -11.7666666667 66.48 -1.0 1 0.27149369
110 51.9 63.0 -11.1 51.9 -18.0 1 0.26330172
111 53.0 68.4285714286 -15.4285714286 50.35 -26.0 1 0.28276798
112 55.4 67.1666666667 -11.7666666667 66.48 -1.0 1 0.22879997
113 53.0 68.4285714286 -15.4285714286 55.65 -19.0 1 0.19390979
114 51.9 63.0 -11.1 49.305 -22.0 0 0.43798802
115 48.8333333333 64.0 -15.1666666667 39.0666666666 -39.0 1 0.24844687
116 51.9 63.0 -11.1 49.305 -22.0 0 0.32700313
117 51.9 63.0 -11.1 41.52 -34.0 1 0.22643883
118 55.4 67.1666666667 -11.7666666667 44.32 -34.0 1 0.20467864
119 55.4 67.1666666667 -11.7666666667 60.94 -9.0 1 0.12839161
120 53.0 68.4285714286 -15.4285714286 50.35 -26.0 1 0.61994627
121 53.0 68.4285714286 -15.4285714286 53.0 -23.0 1 0.392931
122 48.8333333333 64.0 -15.1666666667 43.95 -31.0 1 0.19446403
123 48.8333333333 64.0 -15.1666666667 48.8333333333 -24.0 0 0.23037923
124 51.9 63.0 -11.1 54.495 -14.0 1 0.47628065
125 55.4 67.1666666667 -11.7666666667 52.63 -22.0 1 0.48743619
126 51.9 63.0 -11.1 62.28 -1.0 1 0.2198432
127 53.0 68.4285714286 -15.4285714286 58.3 -15.0 1 0.15568852
128 55.4 67.1666666667 -11.7666666667 55.4 -18.0 1 0.16327548
