 LumCD LumCD_conv LumS LumS_conv
0 63.0 136.810427807 51.9 113.149779412
1 67.1666666667 145.668566177 55.4 120.429247606
2 71.3333333333 154.521650327 57.0 123.979196557
3 79.6666666667 172.437363834 59.8 129.980235294
4 88.0 190.077949776 59.6 129.573411765
5 43.4 94.6963464052 28.0 61.8765720081
6 55.5 120.630916553 36.3333333333 79.7087867646
7 59.8 129.980235294 44.6666666667 97.5316302522
8 64.0 138.996078431 48.8333333333 106.586764706
9 68.4285714286 148.328308824 53.0 115.578676471
